text,labels
"Глубокое сопереживание и понимание чувств другого человека для меня важнее слов","2"
"Стараюсь оживить разговор, добавляя ярких эмоциональных красок и вовлекая всех участников","3"
"Часто ощущаю смутное предчувствие грядущих перемен, ещё до того, как они станут явными","4"
"Мне нравится бросать идеи на brainstorming, не думая о реализуемости, главное — поток новизны","5"
"Предпочитаю мягкую, удобную мебель и приятные ароматы, чтобы всегда чувствовать себя комфортно","6"
"Не боюсь брать на себя ответственность и действовать решительно, даже если нужно пойти напролом","7"
"Когда изучаю теорию, важна не просто формула, а понимание внутреннего механизма её работы","0"
"Ценю чёткие инструкции и показатели эффективности, чтобы сразу видеть прогресс","1"
"Часто вникаю в переживания людей, пытаясь понять их мотивы и эмоциональный мир изнутри","2"
"Если в комнате скучно, я стараюсь поднять всем настроение, найти общую тему для смеха и радости","3"
"Иногда вижу во сне символы, которые затем проявляются в реальности, подтверждая мои интуитивные догадки","4"
"Люблю, когда новые идеи искрятся, как фейерверк, и одна мысль цепляет другую","5"
"Оценив мягкость ткани или вкус напитка, я испытываю глубокое личное удовольствие","6"
"Если ситуация требует быстрых действий, я мгновенно включаюсь и беру инициативу в свои руки","7"
"Постоянно пытаюсь выявить принципы, лежащие в основе явлений, чтобы понять суть вещей","0"
"Чтобы наладить работу команды, разрабатываю эффективную стратегию и устанавливаю KPI","1"
"Иногда я почти молчу, но внимательно слушаю, проникаясь внутренними чувствами собеседника","2"
"Если кто-то грустит, я постараюсь словами, жестами или шуткой изменить атмосферу к лучшему","3"
"Часто представляю, каким будет мир через десятилетия, улавливая зарождающиеся тенденции","4"
"Даю волю фантазии, выстраивая невероятные концепции, пусть даже они звучат безумно","5"
"Для меня важно, как вещь ощущается на коже, каков её привкус, температура и фактура","6"
"Я готов противостоять трудностям, преодолевать барьеры и расширять свои возможности","7"
"Изучая систему, я сосредоточен на её внутренних связях и принципах, словно рассматриваю шестерёнки механизма изнутри","0"
"Чтобы проект шёл гладко, я ввожу чёткие регламенты, регистрирую задачи и отслеживаю прогресс по конкретным метрикам","1"
"Я стараюсь почувствовать искреннюю боль или радость другого человека, прожить её внутри себя, чтобы понять его душу","2"
"Если в компании царит холодная атмосфера, я пытаюсь разогреть сердца шутками, улыбками и дружескими жестами","3"
"Иногда ощущаю, как события выстраиваются в некую цепочку, ведущую в будущее, даже если логически это ещё не доказуемо","4"
"Обожаю момент, когда идея вспыхивает в сознании, как искра, рождающая целый фейерверк новых возможностей","5"
"Я придаю значение мельчайшим физическим деталям: мягкость подушки, вкус свежесваренного кофе, тепло пледа","6"
"Если нужно действовать, я не стану медлить: шагну вперёд, преодолевая сопротивление и демонстрируя силу характера","7"
"Я стремлюсь понять не просто формулы или факты, а глубинную логику, стоящую за ними, как если бы раскрывал тайный код","0"
"Мой подход к работе — это чёткий план, дедлайны, контроль выполнения и анализ эффективности каждого шага","1"
"Я могу молча слушать человека, улавливая оттенки его чувств, словно настраиваясь на тонкую мелодию его души","2"
"Чтобы поднять настроение всей группы, могу рассказать забавную историю или выразительно отреагировать на чей-то успех","3"
"Я улавливаю намёки судьбы, словно вижу смутные контуры грядущих перемен в тени текущих событий","4"
"При появлении новой задачи во мне кипит поток идей, я как искатель сокровищ, раскидывающий сотни сценариев","5"
"Замечаю, насколько приятен на ощупь шерстяной шарф или насколько освежающе действует прохладная вода на кожу","6"
"Если ситуация требует решительных шагов, я напрягаю волю, беру всё под контроль и прокладываю путь через препятствия","7"
"В попытках понять предмет, я добиваюсь ясности, пока не увижу логическую структуру, как каркас здания без стен","0"
"Мне важно видеть реальный, измеримый прогресс: число выполненных задач, повышение прибыли — всё это даёт уверенность","1"
"Глубоко проникаю в эмоции человека, словно пытаясь заглянуть в его внутренний мир, наполненный ценностями и переживаниями","2"
"Если все подавлены, я постараюсь выразить сочувствие и вдохновение громко, ясно и открыто, чтобы зажечь искру оптимизма","3"
"Часто мне достаточно одного намёка, чтобы предчувствовать исход событий, как будто я вижу их отражение в тихом озере времени","4"
"Новые идеи для меня — это топливо, я бросаю их в сознание, наслаждаясь непредсказуемым танцем мысли","5"
"Я оцениваю мягкость матраса, вкус блюда, свежесть воздуха — всё это важно для моего личного комфорта","6"
"Если мир оказывает сопротивление, я ощущаю азарт: я готов пробиться, доказать свою мощь и добиться своего","7"

"Я стремлюсь докопаться до глубинных принципов теории, пока не найду её логический скелет, и одновременно поддерживать эмоциональную связь","0 3"
"Для меня главное — чёткий план действий, измеримые результаты и эффективные решения","1"
"Слушая человека, я стараюсь сердцем почувствовать его внутренние ценности и искренние мотивы","2"
"Когда атмосфера в группе угасает, я повышаю эмоциональный накал, делюсь радостью и одобрением","3"
"Я ощущаю приближение будущих изменений, словно улавливая слабые сигналы наступающих тенденций","4"
"Стоит появиться задаче, и я генерирую десятки идей, не заботясь пока о практичности, лишь о новизне, но хочу измерить их эффективность","0 1 5"
"Я обращаю внимание на мельчайшие детали ощущений: мягкость подушки, вкус чая, комфорт температуры","6"
"Столкнувшись с трудностью, я проявляю волю и силу, двигаясь напролом к цели, не отступая","7"
"Если теория кажется сложной, я разбираю её на логические компоненты, стремясь понять изнутри","0"
"Люблю видеть графики, числа, показатели — всё, что прямо указывает на успех или неудачу","1"
"Я вникаю в чувства человека глубоко, стремясь понять его душевную мелодию","2"
"Если хочется поднять настроение, я оживляю беседу яркими эмоциональными реакциями","3"
"Предчувствуя грядущие события, я улавливаю их в неявных знаках, ещё не проявившихся явно","4"
"Идеи вспыхивают в моей голове, как искры фейерверка, создавая новые концепции","5"
"Для меня важно ощущать приятные фактуры, мягкие звуки, нежные вкусы, чтобы чувствовать себя в гармонии","6"
"Мне нравится испытывать себя, пробивать стены, действовать активно и напористо, добиваясь результата","1 7"
